Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop
11/30/2022,09009,48,New Haven County,CT,98.2,867553,95,861896,95,827699,95,768200,95,197820,95,697223,81.6,694227,85.6,77028,60.5,666236,89.3,617199,90.3,155946,95,377487,54.1,377484,54.4,372525,55.9,355145,57.5,219400,67.8,114791,73.6,114160,52,71830,62.6,C,12,12,12,12,12,12,Metro,4,4,4,4,4,4,12,12,12,11,4,4,4,3,854757,810962,127422,745833,683540,152623
11/23/2022,09009,47,New Haven County,CT,98.2,866579,95,860952,95,826793,95,767340,95,197560,95,696763,81.5,693810,85.6,76970,60.4,665851,89.3,616840,90.2,155857,95,376878,54.1,376875,54.3,371994,55.9,354682,57.5,219158,67.7,114659,73.6,113029,51.6,71293,62.2,C,12,12,12,12,12,12,Metro,4,4,4,4,4,4,12,12,12,11,4,4,4,3,854757,810962,127422,745833,683540,152623
11/16/2022,09009,46,New Haven County,CT,98.2,864245,95,858691,95,824647,95,765284,95,196787,95,695756,81.4,692913,85.4,76854,60.3,665031,89.2,616059,90.1,155626,95,375674,54,375671,54.2,370967,55.8,353764,57.4,218611,67.6,114359,73.5,110614,50.6,70119,61.3,C,12,12,12,12,12,12,Metro,4,4,4,4,4,4,12,12,12,11,4,4,4,3,854757,810962,127422,745833,683540,152623
11/09/2022,09009,45,New Haven County,CT,98.2,862351,95,856897,95,822971,95,763703,95,196316,95,694697,81.3,691971,85.3,76767,60.2,664146,89,615204,90,155353,95,374384,53.9,374381,54.1,369909,55.7,352839,57.4,218040,67.6,114039,73.4,107749,49.4,68566,60.1,C,12,12,12,12,12,12,Metro,4,4,4,4,4,4,12,12,12,11,4,4,4,3,854757,810962,127422,745833,683540,152623
11/02/2022,09009,44,New Haven County,CT,98.2,857606,95,852259,95,818464,95,759313,95,193968,95,693515,81.1,690908,85.2,76652,60.2,663154,88.9,614256,89.9,155002,95,372776,53.8,372773,54,368523,55.6,351589,57.2,217204,67.4,113520,73.2,104401,48.1,66786,58.8,C,12,12,12,12,12,12,Metro,4,4,4,4,4,4,12,12,12,11,4,4,4,3,854757,810962,127422,745833,683540,152623
10/26/2022,09009,43,New Haven County,CT,98.2,855454,95,850198,95,816524,95,757436,95,193357,95,692265,81,689768,85.1,76549,60.1,662076,88.8,613219,89.7,154567,95,371195,53.6,371192,53.8,367122,55.5,350295,57.1,216293,67.3,112938,73.1,100511,46.5,64749,57.3,C,12,12,12,12,12,12,Metro,4,4,4,4,4,4,12,12,12,11,4,4,4,3,854757,810962,127422,745833,683540,152623
10/19/2022,09009,42,New Haven County,CT,98.2,852658,95,847508,95,813974,95,754988,95,192333,95,690964,80.8,688584,84.9,76409,60,660967,88.6,612175,89.6,154163,95,369707,53.5,369704,53.7,365783,55.3,349109,57,215506,67.2,112465,73,96722,44.9,62743,55.8,C,12,12,12,12,12,12,Metro,4,4,4,4,4,4,12,12,12,11,4,4,4,3,854757,810962,127422,745833,683540,152623
10/12/2022,09009,41,New Haven County,CT,98.2,847862,95,843028,95,809656,95,750827,95,190674,95,688254,80.5,686175,84.6,76199,59.8,658685,88.3,609976,89.2,153299,95,366570,53.3,366568,53.4,362771,55.1,346353,56.8,213642,66.8,111309,72.6,88086,41.2,57967,52.1,C,12,12,12,12,12,12,Metro,4,4,4,4,4,4,12,12,12,11,4,4,4,3,854757,810962,127422,745833,683540,152623
10/05/2022,09009,40,New Haven County,CT,98.2,846654,95,841824,95,808465,95,749672,95,190082,95,687778,80.5,685700,84.6,76184,59.8,658213,88.3,609516,89.2,153061,95,366251,53.3,366249,53.4,362453,55.1,346037,56.8,213367,66.8,111103,72.6,87981,41.2,57889,52.1,C,12,12,12,12,12,12,Metro,4,4,4,4,4,4,12,12,12,11,4,4,4,3,854757,810962,127422,745833,683540,152623
09/28/2022,09009,39,New Haven County,CT,98.2,844131,95,839430,95,806147,95,747459,95,189246,95,686221,80.3,684294,84.4,76067,59.7,656863,88.1,608227,89,152531,95,364682,53.1,364680,53.3,360952,55,344641,56.7,212402,66.7,110479,72.4,84699,39.9,56076,50.8,C,12,12,12,12,12,12,Metro,4,4,4,4,4,4,12,12,12,11,4,4,4,3,854757,810962,127422,745833,683540,152623
