State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
CT,New Haven County,9,9,4/10/2020,2,NA,NA,NA,NA
CT,New Haven County,9,9,4/11/2020,2,NA,NA,NA,NA
CT,New Haven County,9,9,4/12/2020,2,NA,NA,NA,NA
CT,New Haven County,9,9,4/13/2020,2,NA,NA,NA,NA
CT,New Haven County,9,9,4/14/2020,2,NA,NA,NA,NA
CT,New Haven County,9,9,4/15/2020,2,NA,NA,NA,NA
CT,New Haven County,9,9,4/16/2020,2,NA,NA,NA,NA
CT,New Haven County,9,9,4/17/2020,2,NA,NA,NA,NA
CT,New Haven County,9,9,4/18/2020,2,NA,NA,NA,NA
CT,New Haven County,9,9,4/19/2020,2,NA,NA,NA,NA
CT,New Haven County,9,9,4/20/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,4/21/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,4/22/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,4/23/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,4/24/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,4/25/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,4/26/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,4/27/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,4/28/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,4/29/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,4/30/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/1/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/2/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/3/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/4/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/5/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/6/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/7/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/8/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/9/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/10/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/11/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/12/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/13/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/14/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,5/15/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
